session_key,driver_number,stint_number,compound,lap_count,tyre_age_min,tyre_age_max,intercept_s,pace_trend_s_per_lap,training_rmse_s,holdout_train_laps,holdout_test_laps,holdout_linear_mae_s,holdout_mean_mae_s,expanding_predictions,expanding_linear_mae_s,expanding_mean_mae_s
9472,4,1,SOFT,7,7.0,14.0,97.51156521739138,0.04751449275361832,0.07764058243862242,4,3,0.2250000000000322,0.18499999999998806,3,0.126209523809545,0.15357777777776485
9472,4,2,HARD,17,1.0,18.0,96.50556782945735,0.026807447397565867,0.16160713351587647,11,6,0.26745454545453623,0.2920606060606161,13,0.1902880219956,0.18789535037611615
9472,4,3,HARD,15,3.0,17.0,94.75125238095238,0.06172142857142897,0.12038161674771461,10,5,0.22123636363634488,0.5186000000000007,11,0.09911896335987856,0.2876374325169761
